日付,ライブ名,会場,ライブ情報,表示名
2026/12/06,緑黄色社会 アリーナツアー2026,横浜アリーナ (神奈川県),https://www.livefans.jp/events/1921167,
2026/12/05,緑黄色社会 アリーナツアー2026,横浜アリーナ (神奈川県),https://www.livefans.jp/events/1921166,
2026/11/14,緑黄色社会 アリーナツアー2026,IGアリーナ (愛知県),https://www.livefans.jp/events/1921165,
2026/11/13,緑黄色社会 アリーナツアー2026,IGアリーナ (愛知県),https://www.livefans.jp/events/1921164,
2026/10/24,緑黄色社会 アリーナツアー2026,大阪城ホール (大阪府),https://www.livefans.jp/events/1921163,
2026/10/23,緑黄色社会 アリーナツアー2026,大阪城ホール (大阪府),https://www.livefans.jp/events/1921162,
2026/10/11,緑黄色社会 アリーナツアー2026,マリンメッセ福岡 A館 (福岡県),https://www.livefans.jp/events/1921161,
2026/10/10,緑黄色社会 アリーナツアー2026,マリンメッセ福岡 A館 (福岡県),https://www.livefans.jp/events/1921160,
2026/09/20,緑黄色社会 アリーナツアー2026,LaLa arena TOKYO-BAY (千葉県),https://www.livefans.jp/events/1921158,
2026/09/19,緑黄色社会 アリーナツアー2026,LaLa arena TOKYO-BAY (千葉県),https://www.livefans.jp/events/1921157,
2026/04/26,緑黄色大夜祭2026,Aichi Sky Expo ホールA (愛知県),https://www.livefans.jp/events/1861939,2026/04/26 | 緑黄色大夜祭2026 @ Aichi Sky Expo ホールA (愛知県)
2026/04/25,緑黄色大夜祭2026,Aichi Sky Expo ホールA (愛知県),https://www.livefans.jp/events/1861933,2026/04/25 | 緑黄色大夜祭2026 @ Aichi Sky Expo ホールA (愛知県)
2026/04/16,緑黄色夜祭 vol.13,Zepp Haneda (東京都),https://www.livefans.jp/events/1909537,2026/04/16 | 緑黄色夜祭 vol.13 @ Zepp Haneda (東京都)
2026/04/13,緑黄色夜祭 vol.13,Zepp Osaka Bayside (大阪府),https://www.livefans.jp/events/1909534,2026/04/13 | 緑黄色夜祭 vol.13 @ Zepp Osaka Bayside (大阪府)
2026/04/10,奏でた音の行方 vol.10,オンラインライブ,https://www.livefans.jp/events/1932792,2026/04/10 | 奏でた音の行方 vol.10 @ オンラインライブ
2026/03/29,"緑黄色社会 Fan Club Live ""livestone vol.4""",大分DRUM Be-0 (大分県),https://www.livefans.jp/events/1893890,"2026/03/29 | 緑黄色社会 Fan Club Live ""livestone vol.4"" @ 大分DRUM Be-0 (大分県)"
2026/03/27,"緑黄色社会 Fan Club Live ""livestone vol.4""",出雲APOLLO (島根県),https://www.livefans.jp/events/1893889,"2026/03/27 | 緑黄色社会 Fan Club Live ""livestone vol.4"" @ 出雲APOLLO (島根県)"
2026/03/26,"緑黄色社会 Fan Club Live ""livestone vol.4""",EVENTHALL club-G (岐阜県),https://www.livefans.jp/events/1893887,"2026/03/26 | 緑黄色社会 Fan Club Live ""livestone vol.4"" @ EVENTHALL club-G (岐阜県)"
2026/03/13,"緑黄色社会 Fan Club Live ""livestone vol.4""",NIIGATA LOTS (新潟県),https://www.livefans.jp/events/1893884,"2026/03/13 | 緑黄色社会 Fan Club Live ""livestone vol.4"" @ NIIGATA LOTS (新潟県)"
2026/03/10,"緑黄色社会 Fan Club Live ""livestone vol.4""",Zepp Shinjuku (東京都),https://www.livefans.jp/events/1893882,"2026/03/10 | 緑黄色社会 Fan Club Live ""livestone vol.4"" @ Zepp Shinjuku (東京都)"
2025/12/26,MUSIC STATION SUPER LIVE 2025,幕張メッセ イベントホール (千葉県),https://www.livefans.jp/events/1882966,2025/12/26 | MUSIC STATION SUPER LIVE 2025 @ 幕張メッセ イベントホール (千葉県)
2025/11/14,Ryokuoushoku Shakai ASIA TOUR 2025,Zepp Haneda (東京都),https://www.livefans.jp/events/1828265,2025/11/14 | Ryokuoushoku Shakai ASIA TOUR 2025 @ Zepp Haneda (東京都)
2025/11/09,Ryokuoushoku Shakai ASIA TOUR 2025,The Theatre at Media Corp (シンガポール),https://www.livefans.jp/events/1828264,2025/11/09 | Ryokuoushoku Shakai ASIA TOUR 2025 @ The Theatre at Media Corp (シンガポール)
2025/11/07,Ryokuoushoku Shakai ASIA TOUR 2025,Balai Sarbini (インドネシア),https://www.livefans.jp/events/1828263,2025/11/07 | Ryokuoushoku Shakai ASIA TOUR 2025 @ Balai Sarbini (インドネシア)
